fips_state,fips_county,fips,county_type,ccFIPS,state,stateabb,county,countylong,dma,dmaname
1,0,1000,state,,Alabama,AL,All,Alabama --- All (not a real FIPS),-1.0,
1,1,1001,regular,,Alabama,AL,Autauga,Autauga County,116.0,Montgomery
1,3,1003,regular,,Alabama,AL,Baldwin,Baldwin County,62.0,Mobile/Pensacola
1,5,1005,regular,,Alabama,AL,Barbour,Barbour County,126.0,Columbus
1,7,1007,regular,,Alabama,AL,Bibb,Bibb County,40.0,Birmingham
1,9,1009,regular,,Alabama,AL,Blount,Blount County,40.0,Birmingham
1,11,1011,regular,,Alabama,AL,Bullock,Bullock County,116.0,Montgomery
1,13,1013,regular,,Alabama,AL,Butler,Butler County,116.0,Montgomery
1,15,1015,regular,,Alabama,AL,Calhoun,Calhoun County,40.0,Birmingham
1,17,1017,regular,,Alabama,AL,Chambers,Chambers County,126.0,Columbus
1,19,1019,regular,,Alabama,AL,Cherokee,Cherokee County,40.0,Birmingham
1,21,1021,regular,,Alabama,AL,Chilton,Chilton County,40.0,Birmingham
1,23,1023,regular,,Alabama,AL,Choctaw,Choctaw County,185.0,Meridian
1,25,1025,regular,,Alabama,AL,Clarke,Clarke County,62.0,Mobile/Pensacola
1,27,1027,regular,,Alabama,AL,Clay,Clay County,40.0,Birmingham
1,29,1029,regular,,Alabama,AL,Cleburne,Cleburne County,9.0,Atlanta
1,31,1031,regular,,Alabama,AL,Coffee,Coffee County,171.0,Dothan
1,33,1033,regular,,Alabama,AL,Colbert,Colbert County,83.0,Huntsville
1,35,1035,regular,,Alabama,AL,Conecuh,Conecuh County,62.0,Mobile/Pensacola
1,37,1037,regular,,Alabama,AL,Coosa,Coosa County,116.0,Montgomery
1,39,1039,regular,,Alabama,AL,Covington,Covington County,116.0,Montgomery
1,41,1041,regular,,Alabama,AL,Crenshaw,Crenshaw County,116.0,Montgomery
1,43,1043,regular,,Alabama,AL,Cullman,Cullman County,40.0,Birmingham
1,45,1045,regular,,Alabama,AL,Dale,Dale County,171.0,Dothan
1,47,1047,regular,,Alabama,AL,Dallas,Dallas County,116.0,Montgomery
1,49,1049,regular,,Alabama,AL,DeKalb,DeKalb County,83.0,Huntsville
1,51,1051,regular,,Alabama,AL,Elmore,Elmore County,116.0,Montgomery
1,53,1053,regular,,Alabama,AL,Escambia,Escambia County,62.0,Mobile/Pensacola
1,55,1055,regular,,Alabama,AL,Etowah,Etowah County,40.0,Birmingham
1,57,1057,regular,,Alabama,AL,Fayette,Fayette County,40.0,Birmingham
1,59,1059,regular,,Alabama,AL,Franklin,Franklin County,83.0,Huntsville
1,61,1061,regular,,Alabama,AL,Geneva,Geneva County,171.0,Dothan
1,63,1063,regular,,Alabama,AL,Greene,Greene County,40.0,Birmingham
1,65,1065,regular,,Alabama,AL,Hale,Hale County,40.0,Birmingham
1,67,1067,regular,,Alabama,AL,Henry,Henry County,171.0,Dothan
